Year,Month,Day,GHI,TRACT_FIPS
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,10,51121020300
2014,7,23,156,51121020300
2014,7,23,354,51121020300
2014,7,23,553,51121020300
2014,7,23,730,51121020300
2014,7,23,859,51121020300
2014,7,23,753,51121020300
2014,7,23,500,51121020300
2014,7,23,739,51121020300
2014,7,23,845,51121020300
2014,7,23,649,51121020300
2014,7,23,426,51121020300
2014,7,23,285,51121020300
2014,7,23,135,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020300
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,11,51121020900
2014,7,23,157,51121020900
2014,7,23,354,51121020900
2014,7,23,552,51121020900
2014,7,23,729,51121020900
2014,7,23,859,51121020900
2014,7,23,944,51121020900
2014,7,23,868,51121020900
2014,7,23,784,51121020900
2014,7,23,674,51121020900
2014,7,23,703,51121020900
2014,7,23,515,51121020900
2014,7,23,300,51121020900
2014,7,23,103,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020900
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,11,51121020700
2014,7,23,156,51121020700
2014,7,23,353,51121020700
2014,7,23,551,51121020700
2014,7,23,727,51121020700
2014,7,23,856,51121020700
2014,7,23,736,51121020700
2014,7,23,708,51121020700
2014,7,23,753,51121020700
2014,7,23,842,51121020700
2014,7,23,663,51121020700
2014,7,23,428,51121020700
2014,7,23,296,51121020700
2014,7,23,113,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121020700
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,11,51121021300
2014,7,23,158,51121021300
2014,7,23,356,51121021300
2014,7,23,554,51121021300
2014,7,23,732,51121021300
2014,7,23,861,51121021300
2014,7,23,469,51121021300
