Year,Month,Day,GHI,TRACT_FIPS
2014,7,23,811,51121021300
2014,7,23,695,51121021300
2014,7,23,705,51121021300
2014,7,23,660,51121021300
2014,7,23,478,51121021300
2014,7,23,260,51121021300
2014,7,23,73,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
2014,7,23,0,51121021300
